question,votes,tags
Can someone explain __all__ in Python?,"994
votes",python syntax namespaces
How does the @property decorator work?,"992
votes",python properties decorator python-decorators python-internals
“Large data” work flows using pandas,"990
votes",python mongodb pandas hdf5 large-data
What is the use of “assert” in Python?,"975
votes",python assert assertions
How do I check if a variable exists?,"973
votes",python exception variables
How to read a text file into a string variable and strip newlines?,"969
votes",python string
Is there a built-in function to print all the current properties and values of an object?,"968
votes",python debugging introspection pretty-print python-datamodel
How do I get the row count of a pandas DataFrame?,"967
votes",python pandas dataframe
Creating a singleton in Python,"965
votes",python singleton decorator base-class metaclass
"What is a mixin, and why are they useful?","963
votes",python oop multiple-inheritance mixins
Count the number occurrences of a character in a string,"961
votes",python string count
How can I sort a dictionary by key?,"958
votes",python sorting dictionary
How do I find the location of my Python site-packages directory?,"956
votes",python installation
Is there a simple way to delete a list element by value?,"953
votes",python list
How to get file creation & modification date/times in Python?,"949
votes",python file
"Difference between del, remove and pop on lists","948
votes",python list
Why use pip over easy_install? [closed],"936
votes",python pip setuptools easy-install pypi
How to remove items from a list while iterating?,"934
votes",python iteration
Why are Python lambdas useful? [closed],"929
votes",python function lambda closures
Display number with leading zeros,"927
votes",python integer string-formatting
Should I use 'has_key()' or 'in' on Python dicts?,"925
votes",python dictionary
if/else in a list comprehension,"925
votes",python list-comprehension
Running shell command and capturing the output,"923
votes",python shell subprocess
How to move a file?,"921
votes",python file file-handling
"differentiate null=True, blank=True in django","917
votes",python django django-models
What are “named tuples” in Python?,"915
votes",python tuples namedtuple
Checking whether a variable is an integer or not [duplicate],"914
votes",python
Putting a simple if-then-else statement on one line [duplicate],"913
votes",python if-statement syntax ternary-operator
What is the standard Python docstring format? [closed],"902
votes",python coding-style documentation docstring
How to change the order of DataFrame columns?,"901
votes",python pandas dataframe
Add one row to pandas DataFrame,"901
votes",python pandas dataframe append
How does Python's super() work with multiple inheritance?,"900
votes",python multiple-inheritance
Getting key with maximum value in dictionary?,"887
votes",python dictionary max
How do I install a Python package with a .whl file?,"887
votes",python pip python-wheel downloadfile jpype
Best way to convert string to bytes in Python 3?,"885
votes",python string character-encoding python-3.x
How do I download a file over HTTP using Python?,"884
votes",python http urllib
How to iterate through two lists in parallel?,"882
votes",python list for-loop iterator
Peak detection in a 2D array,"877
votes",python image-processing
How to copy a dictionary and only edit the copy,"872
votes",python python-3.x dictionary reference
list comprehension vs. lambda + filter,"867
votes",python list functional-programming filter lambda
How do I remove/delete a folder that is not empty?,"859
votes",python file
How to get the home directory in Python?,"856
votes",python cross-platform home-directory
error: Unable to find vcvarsall.bat,"852
votes",python windows pip setup.py failed-installation
"Should I put #! (shebang) in Python scripts, and what form should it take?","850
votes",python shell python-3.x shebang
What does the 'b' character do in front of a string literal?,"850
votes",python string unicode binary
How to make a class JSON serializable,"847
votes",python json serialization
Converting unix timestamp string to readable date,"841
votes",python datetime unix-timestamp strftime
Why does Python code run faster in a function?,"840
votes",python performance profiling benchmarking cpython
Python's equivalent of && (logical-and) in an if-statement,"838
votes",python if-statement keyword logical-operators and-operator
How to make IPython notebook matplotlib plot inline,"836
votes",python matplotlib jupyter-notebook ipython data-visualization
Fastest way to check if a value exists in a list,"832
votes",python performance list
pip install mysql-python fails with EnvironmentError: mysql_config not found,"830
votes",python pip mysql-python
How do I get the full path of the current file's directory?,"828
votes",python directory
Change data type of columns in Pandas,"827
votes",python pandas dataframe types casting
Get difference between two lists,"822
votes",python performance list set set-difference
Multiprocessing vs Threading Python [duplicate],"822
votes",python multithreading multiprocessing
mkdir -p functionality in Python [duplicate],"820
votes",python mkdir
How to sort a list of objects based on an attribute of the objects?,"814
votes",python list sorting oop count
Emulate a do-while loop in Python?,"814
votes",python while-loop do-while
"Extract file name from path, no matter what the os/path format","813
votes",python
Python integer incrementing with ++ [duplicate],"812
votes",python syntax increment
How to import other Python files?,"809
votes",python python-import
How to return dictionary keys as a list in Python?,"809
votes",python python-3.x list dictionary python-2.x
Behaviour of increment and decrement operators in Python,"808
votes",python operators increment decrement
How to convert list to string [duplicate],"806
votes",python string list
pg_config executable not found,"805
votes",python pip psycopg2
Remove all whitespace in a string,"804
votes",python trim removing-whitespace
What __init__ and self do on Python?,"804
votes",python oop self
How do I unload (reload) a Python module?,"803
votes",python module reload python-import
Get unique values from a list in python [duplicate],"801
votes",python
How to print the full traceback without halting the program?,"798
votes",python exception-handling
python setup.py uninstall,"792
votes",python setup.py pypi
How to properly ignore exceptions,"785
votes",python exception try-except
Using Python 3 in virtualenv,"784
votes",python python-3.x virtualenv
How do you test that a Python function throws an exception?,"784
votes",python unit-testing exception exception-handling
Convert a String representation of a Dictionary to a dictionary?,"781
votes",python string dictionary
How to remove the first Item from a list?,"781
votes",python arrays list
What is the naming convention in Python for variable and function names?,"780
votes",python variables function naming-conventions
Shuffling a list of objects,"778
votes",python list random shuffle
How do you remove duplicates from a list whilst preserving order?,"778
votes",python list duplicates unique
Convert hex string to int in Python,"778
votes",python string hex
Usage of __slots__?,"775
votes",python oop python-internals slots
How to check if type of a variable is string?,"774
votes",python string variables types
How to subtract a day from a date?,"773
votes",python datetime date
How to drop rows of Pandas DataFrame whose value in a certain column is NaN,"771
votes",python pandas dataframe nan
Is there any way to kill a Thread?,"771
votes",python multithreading kill terminate
How can I check file size in Python?,"770
votes",python file
How to retrieve a module's path?,"769
votes",python module inotify
How to print number with commas as thousands separators?,"768
votes",python number-formatting
What is the purpose and use of **kwargs?,"768
votes",python kwargs
Maximum and Minimum values for ints,"766
votes",python integer
Import a module from a relative path,"763
votes",python relative-path python-import
Python `if x is not None` or `if not x is None`?,"761
votes",python coding-style nonetype boolean-expression pep8
"What are the differences between the urllib, urllib2, urllib3 and requests module?","759
votes",python python-requests urllib2 urllib python-2.x
How to get a function name as a string?,"758
votes",python string function
How to overcome “datetime.datetime not JSON serializable”?,"757
votes",python json
Get the data received in a Flask request,"757
votes",python flask werkzeug
Converting from a string to boolean in Python?,"755
votes",python string boolean
How to use a decimal range() step value?,"752
votes",python floating-point range
How to fix “Attempted relative import in non-package” even with __init__.py,"749
votes",python package python-import importerror init
Relative imports in Python 2.7,"749
votes",python python-2.7 import relative-path
How to print an exception in Python?,"748
votes",python exception error-handling
How to use glob() to find files recursively?,"748
votes",python path filesystems glob fnmatch
How to change a string into uppercase,"743
votes",python string uppercase
List comprehension vs map,"741
votes",python list-comprehension map-function
Relative imports in Python 3,"739
votes",python python-3.x python-import
What is the difference between pip and conda?,"738
votes",python pip ipython package-managers conda
How to define a two-dimensional array in Python,"735
votes",python matrix syntax-error
What is the best project structure for a Python application? [closed],"732
votes",python directory-structure organization project-structure
How to get an absolute file path in Python,"731
votes",python path relative-path absolute-path
Using @property versus getters and setters,"731
votes",python properties getter-setter
"What is a clean, pythonic way to have multiple constructors in Python?","728
votes",python constructor
Is arr.__len__() the preferred way to get the length of an array in Python?,"728
votes",python arrays methods
Find which version of package is installed with pip,"727
votes",python pip
Writing a pandas DataFrame to CSV file,"725
votes",python csv pandas dataframe
What is the difference between range and xrange functions in Python 2.X?,"724
votes",python loops range python-2.x xrange
How can I force division to be floating point? Division keeps rounding down to 0?,"721
votes",python floating-point integer division python-2.x
Single quotes vs. double quotes in Python [closed],"718
votes",python coding-style
Use a list of values to select rows from a pandas dataframe [duplicate],"716
votes",python pandas dataframe
Traverse a list in reverse order in Python,"715
votes",python loops reverse
How can I make a Python script standalone executable to run without ANY dependency?,"713
votes",python executable
Why is [] faster than list()?,"712
votes",python performance list instantiation literals
About catching ANY exception,"709
votes",python exception-handling
What is the difference between dict.items() and dict.iteritems() in Python2?,"709
votes",python dictionary python-2.x
not None test in Python [duplicate],"708
votes",python nonetype
Running unittest with typical test directory structure,"707
votes",python unit-testing
How do I remove packages installed with Python's easy_install?,"704
votes",python packages setuptools easy-install
"What is __future__ in Python used for and how/when to use it, and how it works","703
votes",python python-2.x
How do I change the working directory in Python?,"702
votes",python cd
pip install from git repo branch,"698
votes",python git pip
How do I detect whether a Python variable is a function?,"696
votes",python
How do I determine the size of an object in Python?,"695
votes",python object memory memory-management sizeof
How to create a GUID/UUID in Python,"695
votes",python uuid guid uniqueidentifier
How can I use Python to get the system hostname?,"692
votes",python hostname
How to check version of python modules?,"692
votes",python
Remove empty strings from a list of strings,"691
votes",python string list
Why shouldn't I use PyPy over CPython if PyPy is 6.3 times faster?,"691
votes",python performance jit pypy cpython
Writing a list to a file with Python,"686
votes",python file list file-io newline
How to print a date in a regular format?,"686
votes",python datetime date
How can I open multiple files using “with open” in Python?,"684
votes",python file-io
How to import the class within the same directory or sub directory?,"684
votes",python python-import
Styling multi-line conditions in 'if' statements? [closed],"684
votes",python coding-style if-statement
Speed comparison with Project Euler: C vs Python vs Erlang vs Haskell,"677
votes",python c performance haskell erlang
Convert list of dictionaries to a pandas DataFrame,"673
votes",python dictionary pandas dataframe
Is there a list of Pytz Timezones?,"673
votes",python django pytz
Split Strings into words with multiple word boundary delimiters,"672
votes",python string split
Which Python memory profiler is recommended? [closed],"672
votes",python performance memory-management profiling
How do I do a not equal in Django queryset filtering?,"671
votes",python django django-models django-queryset
Pretty-print an entire Pandas Series / DataFrame,"669
votes",python pandas dataframe
How can I get the concatenation of two lists in Python without modifying either one? [duplicate],"669
votes",python concatenation sequence list-manipulation
How to set environment variables in Python,"667
votes",python environment-variables
How to sort a list/tuple of lists/tuples by the element at a given index?,"666
votes",python list sorting tuples
Reverse / invert a dictionary mapping,"665
votes",python dictionary mapping reverse
open() in Python does not create a file if it doesn't exist,"665
votes",python linux file-io file-permissions
Why dict.get(key) instead of dict[key]?,"662
votes",python dictionary
What does functools.wraps do?,"662
votes",python decorator functools
Why are Python's 'private' methods not actually private?,"661
votes",python python-2.7 encapsulation information-hiding
Print string to text file,"660
votes",python string text file-io
How do you get the logical xor of two variables in Python?,"659
votes",python logical-operators
Python progression path - From apprentice to guru,"659
votes",python
What is __pycache__?,"659
votes",python python-3.x caching
"What exactly do “u” and “r” string flags do, and what are raw string literals?","658
votes",python unicode python-2.x rawstring
Argparse optional positional arguments?,"657
votes",python argparse
List of lists changes reflected across sublists unexpectedly,"657
votes",python list nested-lists mutable
How do I convert datetime to date (in Python)?,"656
votes",python datetime
How to test multiple variables against a value?,"653
votes",python if-statement comparison match boolean-logic
How do I parse an ISO 8601-formatted date?,"649
votes",python datetime iso8601 datetime-parsing rfc3339
Adding a Method to an Existing Object Instance,"647
votes",python oop methods monkeypatching
Get key by value in dictionary,"644
votes",python dictionary
How to deal with SettingWithCopyWarning in Pandas?,"643
votes",python pandas dataframe chained-assignment
Best way to strip punctuation from a string,"642
votes",python string punctuation
Post JSON using Python Requests,"641
votes",python json python-requests cherrypy
How to get the last day of the month?,"640
votes",python date
How do I expand the output display to see more columns of a pandas DataFrame?,"640
votes",python pandas printing column-width
How are iloc and loc different?,"640
votes",python pandas indexing dataframe
How do I protect Python code?,"638
votes",python licensing obfuscation copy-protection
Convert date to datetime in Python,"637
votes",python datetime date
Importing modules from parent folder,"636
votes",python module path directory python-import
What OS am I running on?,"635
votes",python cross-platform platform-specific platform-agnostic
What is the Python equivalent of static variables inside a function?,"633
votes",python
How to read/process command line arguments?,"631
votes",python command-line command-line-arguments
Is there a difference between “==” and “is”?,"630
votes",python reference equality semantics
Parsing boolean values with argparse,"629
votes",python boolean argparse command-line-parsing
What is the easiest way to remove all packages installed by pip?,"627
votes",python pip
What is the purpose of the single underscore “_” variable in Python?,"620
votes",python variables naming-conventions metasyntactic-variable
How can I parse a YAML file in Python,"620
votes",python yaml
"Difference between modes a, a+, w, w+, and r+ in built-in open function?","618
votes",python
What is the quickest way to HTTP GET in Python?,"613
votes",python http networking
Call a parent class's method from child class?,"612
votes",python inheritance class object
Convert all strings in a list to int,"607
votes",python list int
Is there a portable way to get the current username in Python?,"602
votes",python portability username
"TypeError: a bytes-like object is required, not 'str' when writing to a file in Python3","601
votes",python python-3.x string file byte
How do I append one string to another in Python?,"600
votes",python string append
How do I get the day of week given a date?,"599
votes",python datetime weekday
Check if a Python list item contains a string inside another string,"599
votes",python string
What is a “slug” in Django?,"598
votes",python django django-models slug
How to generate all permutations of a list?,"597
votes",python algorithm permutation combinatorics python-2.5
"How to print the full NumPy array, without truncation?","597
votes",python arrays numpy options output-formatting
How to capitalize the first letter of each word in a string?,"596
votes",python capitalization capitalize
"Differences between distribute, distutils, setuptools and distutils2?","595
votes",python packaging setuptools distutils distribute
"What does the star operator mean, in a function call? [duplicate]","595
votes",python syntax parameter-passing iterable-unpacking argument-unpacking
IndentationError: unindent does not match any outer indentation level,"594
votes",python indentation
Python: Find in list,"592
votes",python find
Concatenate item in list to strings,"591
votes",python string list concatenation
What does the “at” (@) symbol do in Python?,"589
votes",python syntax python-decorators
"How to debug in Django, the good way? [closed]","588
votes",python django debugging
Does Python have “private” variables in classes?,"585
votes",python class private
ImportError: No module named requests,"585
votes",python python-requests python-import
How do I do a case-insensitive string comparison?,"584
votes",python comparison case-insensitive
Python try-else,"584
votes",python exception-handling
What's the difference between a Python module and a Python package?,"584
votes",python module package
How to split a string into a list?,"577
votes",python list split text-segmentation
Add a new item to a dictionary in Python [duplicate],"575
votes",python dictionary items
How do I make python wait for a pressed key?,"574
votes",python wait keyboard-input
Directory-tree listing in Python,"573
votes",python file directory subdirectory directory-tree
TensorFlow not found using pip,"573
votes",python tensorflow pip
Why is __init__() always called after __new__()?,"571
votes",python design-patterns class-design
Build a Basic Python Iterator,"570
votes",python object iterator
Getting a list of all subdirectories in the current directory,"569
votes",python directory subdirectory
How can I iterate over files in a given directory?,"569
votes",python iterator directory
Why use def main()? [duplicate],"569
votes",python coding-style
What does 'super' do in Python?,"569
votes",python oop inheritance super
Asking the user for input until they give a valid response,"567
votes",python validation loops python-3.x user-input
Does Python's time.time() return the local or UTC timestamp?,"564
votes",python time timezone
How can I represent an infinite number in Python?,"562
votes",python infinite infinity
Is it possible to break a long line to multiple lines in Python [duplicate],"561
votes",python line-breaks
Create an empty list in python with certain size,"560
votes",python list
Difference between abstract class and interface in Python,"560
votes",python interface abstract-class
What is the difference between __init__ and __call__?,"559
votes",python class oop object callable-object
Tensorflow: how to save/restore a model?,"559
votes",python tensorflow machine-learning model
How to install pip with Python 3?,"558
votes",python python-3.x pip package setuptools
What is monkey patching?,"558
votes",python terminology monkeypatching
How to urlencode a querystring in Python?,"556
votes",python urllib urlencode
How do I use raw_input in Python 3,"556
votes",python python-3.x
What's the idiomatic syntax for prepending to a short python list?,"553
votes",python list prepend
Remove specific characters from a string in Python,"553
votes",python string immutability
Dump a NumPy array into a csv file,"552
votes",python arrays csv numpy
String comparison in Python: is vs. == [duplicate],"552
votes",python string comparison equality
How to check Django version,"551
votes",python django
How to set the current working directory? [duplicate],"551
votes",python working-directory
How to change the font size on a matplotlib plot,"550
votes",python matplotlib font-size
Convert list to tuple in Python,"550
votes",python python-2.7 tuples
Which exception should I raise on bad/illegal argument combinations in Python?,"550
votes",python exception arguments
Finding local IP addresses using Python's stdlib,"549
votes",python networking ip-address
TypeError: 'module' object is not callable,"549
votes",python sockets
Difference between Python's Generators and Iterators,"549
votes",python iterator generator
How to import a module given its name as string?,"548
votes",python python-import
Python multiprocessing pool.map for multiple arguments,"546
votes",python multiprocessing
What does the Ellipsis object do?,"546
votes",python ellipsis
How to print instances of a class using print()?,"546
votes",python class printing object
ImportError: Cannot import name X,"546
votes",python python-import importerror circular-dependency
How do I capture SIGINT in Python?,"544
votes",python controls signals
How to serve static files in Flask,"544
votes",python flask static-files
Convert nested Python dict to object?,"543
votes",python object dictionary
How do I set the figure title and axes labels font size in Matplotlib?,"543
votes",python matplotlib
How to find out the number of CPUs using python,"542
votes",python system-information
How can the Euclidean distance be calculated with NumPy?,"541
votes",python numpy euclidean-distance
How do I get my Python program to sleep for 50 milliseconds?,"539
votes",python timer sleep
What is a Python egg?,"539
votes",python egg
How to read a large file - line by line?,"538
votes",python file-read
Get current time in milliseconds in Python?,"537
votes",python datetime time
Writing unit tests in Python: How do I start? [closed],"537
votes",python unit-testing testing
How would you make a comma-separated string from a list of strings?,"536
votes",python string list
How does collections.defaultdict work?,"536
votes",python dictionary default-value defaultdict
How to convert string representation of list to a list?,"535
votes",python string
Python int to binary string?,"533
votes",python
"Simple argparse example wanted: 1 argument, 3 results","533
votes",python argparse
Disable output buffering,"533
votes",python stdout buffered
How to get the position of a character in Python?,"532
votes",python string
python exception message capturing,"530
votes",python exception logging except
Getting a map() to return a list in Python 3.x,"530
votes",python list python-3.x map-function
How to do relative imports in Python?,"530
votes",python python-import python-module
What is the difference between re.search and re.match?,"529
votes",python regex search match
How do I update pip itself from inside my virtual environment?,"527
votes",python upgrade virtualenv pip package-managers
User input and command line arguments [closed],"526
votes",python input command-line-arguments
Create list of single item repeated N times,"526
votes",python list-comprehension multiplication replicate
Deleting DataFrame row in Pandas based on column value,"525
votes",python pandas
Calling C/C++ from Python?,"524
votes",c++ python c
Is there a short contains function for lists?,"521
votes",python list search collections contains
Set up a scheduled job?,"521
votes",python django web-applications scheduled-tasks
Iterating each character in a string using Python,"519
votes",python string iteration
Append integer to beginning of list in Python [duplicate],"517
votes",python list variables append
How can I fill out a Python string with spaces?,"515
votes",python string string-formatting pad
Call a function from another file in Python,"515
votes",python file function import
How to make an unaware datetime timezone aware in python,"515
votes",python datetime timezone
Remove final character from string,"515
votes",python string
How to calculate number of days between two given dates?,"513
votes",python date
Can I force pip to reinstall the current version?,"513
votes",python pip packages
What is the python keyword “with” used for? [duplicate],"513
votes",python
What is the common header format of Python files?,"513
votes",python header comments
“is” operator behaves unexpectedly with integers,"513
votes",python int operators identity python-internals
How do I use itertools.groupby()?,"511
votes",python itertools
Access an arbitrary element in a dictionary in Python,"510
votes",python dictionary
How to install psycopg2 with “pip” on Python?,"509
votes",python virtualenv psycopg2 pip
Non-blocking read on a subprocess.PIPE in python,"509
votes",python io subprocess nonblocking
